Noncampuscrime060708[1,2,3].csv
Williams Baptist College,Main Campus,60 W Fulbright Avenue
South Arkansas Community College,Main Campus,300 S WEST AVE
Southern Arkansas University Main Campus,Main Campus,100 E. University Street
Southern Arkansas University Tech,Main Campus,100 Carr Road
Velvatex College of Beauty Culture,Velvatex College of Beauty Culture,1520 MARTIN LUTHER KING DR
University of Arkansas-Fort Smith,Main Campus,5210 Grand Ave
Abram Friedman Occupational Center,Abram Friedman Occupational Center,1646 S Olive Street
Academy of Art University,Main Campus,79 NEW MONTGOMERY
ITT Technical Institute-Rancho Cordova,Main Campus,10863 GOLD CENTER DR
Academy of Chinese Culture and Health Sciences,Main Campus,1601 CLAY ST
The Academy of Radio and TV Broadcasting,Main Campus,16052 BEACH BLVD ST 263N
Alameda Beauty College,ALAMEDA BEAUTY COLLEGE,2318 CENTRAL AVE
College of Alameda,Main Campus,555 Ralph Appezzato Memorial Parkway
Allan Hancock College,Santa Maria,800 S. College Drive
Allan Hancock College,Lompoc Valley Center,One Hancock Drive
American Academy of Dramatic Arts-West,Los Angeles Campus,1336 N LA BREA
American Baptist Seminary of the West,American Baptist Seminary of the West,2606 DWIGHT WAY
American Film Institute Conservatory,Main Campus,2021 N WESTERN AVE
American Beauty College,Main Campus,16512 BELLFLOWER BLVD
American Intercontinental University,Main Campus,12655 W. Jefferson Blvd
American Career College,American Career College,4021 ROSEWOOD AVE 1ST FL
American Conservatory Theater,Main Campus,30 GRANT AVE
American River College,Main Campus,4700 COLLEGE OAK DR
Everest College-Hayward,Everest College - Hayward,22336 Main Street
Antelope Valley College,Main Campus,3041 West Avenue K
Art Center College of Design,Hillside Campus,1700 LIDA ST
Art Center College of Design,South Campus,950 South Raymond Avenue
Associated Technical College,Main Campus,1670 WILSHIRE BLVD
Associated Technical College,Main Campus,707 BROADWAY
Azusa Pacific University,Azusa (main campus),901 E. Alosta Ave.
Azusa Pacific University,Inland Empire Regional Center,685 E. Carnige Dr. Suite 100
Azusa Pacific University,Orange County Regional Center,1915 Orangewood Ave. Suite 100
Azusa Pacific University,San Diego Regional Center,5353 Mission Center Rd. Ste. 300
Azusa Pacific University,High Desert Regional Center,18422 Bear Valley Road
Azusa Pacific University,Los Angeles Regional Center,3580 Wilshire Blvd #200
Azusa Pacific University,Murrieta Regional Center,39573 Los Alamos Road
Azusa Pacific University,Ventura Regional Center,445 East Esplanade Dr #200
Bakersfield College,Main Campus,1801 Panorama Drive
Bridges Academy of Beauty,Main Campus,423 E Main St
Barstow Community College,Barstow Community College,2700 BARSTOW RD
Bay Vista College of Beauty,Main Campus,1520 PLAZA BLVD
Bethany University,Main Campus,800 BETHANY DR
Bethesda Christian University,Main Campus,730 N. Euclid St.
Biola University,Main Campus,13800 BIOLA AVE
Biola University,Chino,3560 Grand Ave.
Biola University,Inglewood,Faithful Central Bible Church 333 W. Florence Ave.
Biola University,Thousand Oaks,625 W. Hillcrest Dr.
Biola University,San Diego,1800 Thibodo RD
Biola University,San Bernardino,1911 Commerce Center East
Biola University,Laguna Hills,24422 Avenida de la Carlota
Brooks College,Main Campus - Long Beach,4825 E PACIFIC CST HWY
Brooks Institute,Main Campus,27 East Cota Street
Brooks Institute,Ventura Branch,5301 Ventura Avenue
Brownson Technical School,Main Campus,1110 TECHNOLOGY CIR STE D
Bryan College,Main Campus,3580 Wilshire Blvd suite 400
Butte College,Main Campus,3536 Butte Campus Drive
Phillips Graduate Institute,Main Campus,5445 BALBOA BLVD
California Institute of Integral Studies,Main Campus,1453 MISSION ST
California Institute of Integral Studies,Minna Street Center,695 Minna Street
California Institute of Integral Studies,CIIS at Fox Plaza,1390 Market Street
Cabrillo College,Aptos Campus,6500 SOQUEL DR
Cabrillo College,Watsonville Center,318 Union St.
Cabrillo College,Cabrillo College - Scotts Valley Campus,104 Whispering Pines Dr.
California Baptist University,Main Campus,8432 MAGNOLIA AVE
California Baptist University,California Baptist University,San Bernardino Site
California Baptist University,California Baptist University,Hesperia Site
California Baptist University,California Baptist University,Beaumont site
California College of the Arts,Oakland Campus,5212 BROADWAY
California College of the Arts,San Francisco Campus,1111 8th Street
University of California Hastings College of Law,Main Campus,200 McALLISTER ST.
California Institute of Technology,Main Campus,1200 E CALIFORNIA BLVD
California Lutheran University,Main Campus,60 W OLSEN RD
California Lutheran University,California Lutheran University Oxnard Campus,2201 Outlet Center Drive
California Polytechnic State University-San Luis Obispo,Main Campus,1 Grand Avenue
Alliant International University,Main Campus,10455 POMERADO ROAD
Alliant International University,Alliant International University - Fresno,5130 E. Clinton Way
Alliant International University,Alliant International University - Alhambra,1000 South Fremont Ave
Alliant International University,Alliant International University - San Francisco,One Beach Street
Alliant International University,Alliant University - Irvine,2500 Michelson Dr. Suite 250
Alliant International University,Alliant University - Sacramento,2090 W. El Camino Ave
California State University-Bakersfield,Main Campus,9001 STOCKDALE HWY
California State University-Stanislaus,CSU Stanislaus - Turlock,One University Circle
California State University-Stanislaus,CSU Stanislaus - Stockton,510 E. Magnolia
California State University-San Bernardino,California State University,San Bernardino
California State University-San Bernardino,Palm Desert Satellite Campus,37-500 Cook St
California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE
California State University-Chico,Main Campus,400 W. 1st  St
California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST
California State University-Fresno,Main Campus,5200 N BARTON AVE
California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD
California State University-Fullerton,Garden Grove Center for Higher Education,12901 EUCLID ST
California State University-Fullerton,Santa Ana Central Arts,125 N. BROADWAY STE. A
California State University-Fullerton,Irvine Campus,7320 Trabucco Road
California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD
California State University-East Bay,Contra Costa Campus,4700 Ygnacio Valley Rd
California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD
California State University-Los Angeles,Main Campus,5151 STATE UNIVERSITY DR
California State University-Northridge,California State University,Northridge
California State University-Sacramento,Sacramento State,6000 J Street
University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall
