Noncampuscrime060708[1,2,3].csv
Casa Loma College-Van Nuys,CASA LOMA COLLEGE-HAWTHORNE,12540 S. Crenshaw Blvd.
CET-San Diego,Main Campus,3295 MARKET ST
CET-Sobrato,Main Campus,701 VINE ST
CET-El Centro,Main Campus,294 S 3RD ST
CET-San Bernardino,CET-San Bernardino,1430 Cooley Court
CET-Watsonville,Center for Employment Training,10 BLANCA LANE
CET-Gilroy,Main Campus,7800 ARROYO CIR
CET-Salinas,Main Campus,421 MONTEREY ST
CET-Salinas,CET-Soledad,930 Los Coches Drive
Cerritos College,Main Campus,11110 ALONDRA BLVD
Cerro Coso Community College,Main Campus,3000 COLLEGE HTS BLVD
Cerro Coso Community College,Kern River Valley,5520 Lake Isabella Blvd.
Cerro Coso Community College,Bishop,4090 w. Line St
Cerro Coso Community College,Mammoth Lakes,101 College Parkway
Cerro Coso Community College,South Kern,140 Methusa Ave
Chabot College,Chabot College Campus,25555 HESPERIAN BLVD
Chaffey College,Rancho Campus,5885 HAVEN AVE
Chapman University,Main Campus,One University Dr.
Charles Drew University of Medicine and Science,Main Campus,1731 E 120TH ST
Concordia University,Main Campus,1530 Concordia West
Concordia University,Regional Center,28780 Single Oak Drive Suite 120
San Diego Christian College,Main Campus,2100 GREENFIELD DR
Church Divinity School of the Pacific,Church Divinity School of the Pacific,2451 RIDGE RD
Citrus College,Main Campus,1000 W Foothill Blvd.
City College of San Francisco,City College of San Francisco,50 PHELAN AVE
Claremont Graduate University,Main Campus,150 E TENTH ST
Claremont McKenna College,Main Campus,500 E 9TH ST
Milan Institute,Milan Institute / Visalia,3356 South Fairway
Milan Institute,Milan Institute / Bakersfield,CA
Cleveland Chiropractic College of Los Angeles,Main Campus,590 N VERMONT AVE
Clovis Adult Education,Main Campus,1452 DAVID E COOK WAY
Coastline Community College,Coastline College Center,11460 Warner Avenue
Coastline Community College,Garden Grove Center,12901 Euclid Street
Coastline Community College,Costa Mesa Center,2990 Mesa Verde Drive East
Coastline Community College,Westminster (Le-Jao) Center,14120 All American Way
Cogswell Polytechnical College,Main Campus,1175 BORDEAUX DR
Coleman University,Coleman University,8888 Balboa Ave.
COBA Academy,Main Campus,102 N GLASSELL ST
National Polytechnic College of Science,National Polytechnic College of Science,272 S FRIES AVE LOS ANGELES HARBOR /  Berth 183 Pier A Street
National Polytechnic College of Science,National Polytechnic College of Science,3580 Aero Court
National Polytechnic College of Science,National Polytechnic College of Science,10 Sand Island Parkway
Western University of Health Sciences,Western University of Health Sciences,309 E 2ND ST
Columbia College,Main Campus,11600 COLUMBIA COLLEGE DR
Columbia College Hollywood,Main Campus,18618 OXNARD ST
El Camino College-Compton Center,El Camino College Compton Center,1111 East Artesia Blvd.
Western Beauty Institute,Main Campus,8700 Van Nuys Blvd
Contra Costa College,Main Campus,2600 MISSION BELL DR
Cosumnes River College,Cosumnes River College,8401 CENTER PKY
Crafton Hills College,Main Campus,11711 SAND CANYON RD
Cuesta College,Cuesta College,HIGHWAY 1
Cuesta College,Paso Robles Campus,2800 Bueana Vista
Cuesta College,Arroyo Grande Campus,495 Valley Road
Cuyamaca College,Cuyamaca College,900 RANCHO SAN DIEGO PKWY
Cynthias Beauty Academy,Marinello School of Beauty-Bell,4210 E GAGE AVE
Cypress College,Main Campus,9200 VALLEY VIEW
De Anza College,Main Campus,21250 STEVENS CREEK BLVD
California Beauty College,Marinello School of Beauty-Hemet,2627 W Florida Ave-Ste 100
International School of Beauty Inc,Main Campus,72261 Hwy 111 Ste 121-B
Dell'Arte International School of Physical Theatre,Main Campus,131 H Street
College of the Desert,All Campuses,43-500 MONTEREY ST
College of the Desert,Eastern Valley Center,44-199 Monroe St
Design Institute of San Diego,Main Campus,8555 COMMERCE AVE
DeVry University-California,Pomona Campus,901 CORPORATE CTR DR
DeVry University-California,Long Beach Campus,3880 Kilroy Airport Way
DeVry University-California,Sherman Oaks Campus,15301 Ventura Blvd
DeVry University-California,Fremont Campus,6600 Dumbarton Circle
DeVry University-California,Irvine Center,403 Exchange
DeVry University-California,San Diego Center,2655 Camino Del Rio North
DeVry University-California,San Francisco Center,455 Market St.
DeVry University-California,Fresno Center,7575 N Fresno St
DeVry University-California,Sacramento Center,2216 Kausen Drive
DeVry University-California,Colton Center,1090 E Washington St
DeVry University-California,San Jose Center,2160 Lundy Ave
DeVry University-California,Palmdale Center,39155 Trade Center Drive
DeVry University-California,Bakersfield Center,3000 Ming Avenue
Diablo Valley College,Main Campus,321 GOLF CLUB RD
Dominican University of California,Dominican University of California,50 ACACIA AVE
Dominican School of Philosophy & Theology,Main Campus,2301 Vine Street
East Los Angeles College,East Los Angeles College,1301 AVENIDA CESAR CHAVEZ
California Cosmetology College,Marinello School of Beauty-Santa Clara,955 MONROE ST
San Diego Continuing Education,San Diego Community College District Continuing Education,4343 Ocean View Blvd
San Diego Continuing Education,Aero Adult/Career Center,8401 Aero Drive
San Diego Continuing Education,Skill/Welding Center,835 12th Avenue
San Diego Continuing Education,Cesar Chavez Center,1960 National Avenue
San Diego Continuing Education,Centre City,1400 Park Blvd.
San Diego Continuing Education,Mid City Center,3792 Fairmont Avenue
San Diego Continuing Education,West City Center - Point Loma Campus,3249 Fordham Street
San Diego Continuing Education,West City Center - Clairemont Campus,3890 Modoc Street
San Diego Continuing Education,West City Center - Mission Bay Campus,4375 Lee Street
El Camino Community College District,Main Campus,16007 CRENSHAW BLVD
Elegance International,Campus Hollywood,6752 Hollywood Boulevard
Marinello Schools of Beauty,Marinello School of Beauty-City of Industry,1600 Azusa Ave Ste 244
Marinello Schools of Beauty,Marinello School of Beauty-Burbank,200 SAN FERNANDO BLVD
Marinello Schools of Beauty,Marinello School of Beauty-Moreno Valley,24741 ALESSANDRO BLVD
Emperor's College of Traditional Oriental Medicine,Main Campus,1807 WILSHIRE BLVD
Empire College School of Business,Main Campus,3035 CLEVELAND AVE
Evergreen Valley College,Evergreen Valley Community College,3095 YERBA BUENA RD
The Fashion Institute of Design & Merchandising-Los Angeles,Main Campus,919 S GRAND AVE
Fashion Careers College,Main Campus,1923 MORENA BLVD
The Fashion Institute of Design & Merchandising-San Francisco,Branch Campus,55 STOCKTON ST
The Fashion Institute of Design & Merchandising-Orange County,Branch Campus,17590 Gilette Ave
Feather River Community College District,Main Campus,570 GOLDEN EAGLE AVE
Federico Beauty Institute,Main Campus,1515 Sports Drive
Five Branches University,Main Campus,200 7TH AVE
Hair California Beauty Academy,Main Campus,1110 N Tustin St
Foothill College,Main Campus,12345 EL MONTE RD
Franciscan School of Theology,Main Campus,1712 EUCLID AVE
Fredrick and Charles Beauty College,Main Campus,831 F ST
Fresno City College,Main Campus,1101 E. UNIVERSITY AVE
Fresno City College,Career Technology Center,2930 East Annadale Avenue
Fresno Pacific University,FRESNO PACIFIC UNIVERSITY,1717 S CHESTNUT AVE
Fuller Theological Seminary in California,Main Campus,135 N OAKLAND AVE
Fuller Theological Seminary in California,Southern California Extension,2061 Business Center Dr.
Fuller Theological Seminary in California,Northern California Extension,320 Middlefield Road
Fuller Theological Seminary in California,Colorado Extension,540 North Cascade Avenue Suite 202
Fuller Theological Seminary in California,Northwest Extension,101 Nickerson Street
Fuller Theological Seminary in California,Southwest Extension,4646 East Van Buren Street
Fullerton College,FULLERTON COLLEGE,321 E CHAPMAN AVE
Galen College of Medical and Dental Assistants,Modesto,1604 FORD AVE
Galen College of Medical and Dental Assistants,Main Campus,1325 N WISHON AVE
Gavilan College,Main Campus,5055 SANTA TERESA BLVD
Gavilan College,Morgan Hill Community & Cultural Center,17060 Monterey St
Gavilan College,Brigg's Building,Hollister
Gavilan College,Gavilan College Aviation,400 Skylane Dr.
Gemological Institute of America,Main Campus,5345 ARMADA DR
Glendale Community College,Main Campus,1500 N. VERDUGO ROAD
Glendale Community College,Garfield Campus,1122 E. GARFIELD AVENUE
Glendale Career College,Main Campus,1015 GRANDVIEW AVE
Golden Gate University-San Francisco,SAN FRANCISCO,536 MISSION ST
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-MONTEREY,500 8TH STREET
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-WALNUT CREEK,ONE YGNACIO CENTER - 2ND FLOOR ANNEX
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-LOS ANGELES,725 S. FIGUEROA STREET SUITE 1550
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-ROSEVILLE,7 SIERRA GATE PLAZA
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-SEATTLE,1424 4TH AVENUE
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-SAN JOSE,50 AIRPORT PARKWAY
Golden West College,Golden West College,15744 GOLDEN WEST
Graduate Theological Union,Main Campus,2400 RIDGE RD
Grossmont College,GROSSMONT COLLEGE,8800 GROSSMONT COLLEGE DR
Hair Masters University,Hairmasters University of Beauty,208 W HIGHLAND AVE
Harbor Occupational Center,Harbor Occupational Center,740 N Pacific Ave
Hartnell College,Main Campus,411 Central Avenue
Harvey Mudd College,Main Campus,301 Platt Boulevard
Heald College-Rancho Cordova,Main Campus,2910 PROSPECT PK DR
Heald College-Fresno,Main Campus,255 W BULLARD
Heald College-San Jose,Main Campus,341 GREAT MALL PKY
Heald College-San Francisco,Main Campus,350 MISSION ST
Heald College-Concord,Main Campus,5130 Commercial Circle
Hilltop Beauty School,Main Campus,6317 MISSION ST
Holy Names University,Main Campus,3500 MOUNTAIN BLVD
Pacifica Graduate Institute,Main Campus,249 LAMBERT RD
Humboldt State University,Main Campus,1 HARPST STREET
Humphreys College-Stockton,Main Campus,6650 INGLEWOOD AVE
Humphreys College-Stockton,HUMPHREYS COLLEGE-MODESTO,3600 SISK RD STE 3A
Imperial Valley College,Main Campus,380 E. Aten Road
Institute for Business and Technology,Main Campus,2400 Walsh Avenue
LA College International,Main Campus,3200 Wilshire Blvd. # 400
Interior Designers Institute,Main Campus,1061 CAMELBACK RD
Toni & Guy Hairdressing Academy,International School of Cosmetology,Inc. dba TONI&GUY Hairdressing Academy
Irvine Valley College,Irvine Valley College,5500 Irvine Center Drive
ITT Technical Institute-San Diego,Main Campus,9680 GRANITE RIDGE DR
ITT Technical Institute-San Dimas,Main Campus,650 W Cienega AVE
ITT Technical Institute-Anaheim,Main Campus,525 N MULLER AVE
J Boutique College of Beauty,Main Campus,1073 E MAIN ST
Jesuit School of Theology at Berkeley,Main Campus,1735 LEROY AVE
John F Kennedy University,Main Campus,100 ELLINWOOD WAY
John F Kennedy University,Campbell Campus,1 WEST CAMPBELL AVENUE
John F Kennedy University,Berkeley Campus,2956 SAN PABLO AVE.
American Jewish University,Familian Campus,15600 MULHOLLAND DR
Reedley College,Reedley College,995 N REED AVE
Reedley College,Madera Community College Center,30277 Avenue 12
Reedley College,Clovis Center,390 West Fir
Reedley College,Oakhurst Center,40241 Highway 41
Reedley College,Willow International,10309 N. Willow
Life Pacific College,Main Campus,1100 W. Covina Blvd
The Art Institute of California-San Diego,The Art Institute of California - San Diego,7650 Mission Valley Road
University of La Verne,MAIN CAMPUS,1950 THIRD ST
University of La Verne,ONTARIO COLLEGE OF LAW,320 D STREET
Laguna College of Art and Design,Main Campus,2222 LAGUNA CANYON RD
Lake Tahoe Community College,Main Campus,ONE COLLEGE DR
Lancaster Beauty School,Main Campus,44646 N 10TH ST W
Laney College,Main Campus,900 FALLON ST
Lassen Community College,Main Campus,478-200 HWY 139
Life Chiropractic College-West,Main Campus,25001 INDUSTRIAL BLVD.
Lincoln University,Main Campus,401 15TH STREET
Southern California Seminary,Main Campus,2075 E MADISON AVE
La Sierra University,La Sierra University,4500 Riverwalk Parkway
Loma Linda University,Loma Linda University,24690 University Avenue
Long Beach City College,Liberal Arts Campus,4901 East Carson Street
Long Beach City College,Pacific Coast Campus,1305 East Pacific Coast Highway
Southern California University of Health Sciences,Main Campus,16200 E AMBER VALLEY DR
Los Angeles Harbor College,Harbor College,1111 FIGUEROA PLACE
Los Angeles Pierce College,Pierce College,6201 Winnetka Avenue
Los Angeles Southwest College,Southwest College,1600 W. IMPERIAL HWY.
Los Angeles Trade Technical College,Trade Tech College,400 W. WASHINGTON BLVD.
Los Angeles Valley College,Los Angeles Valley College,5800 Fulton Avenue
The Master's College and Seminary,The Master's College and Dorm Housing,21726 Placerita Canyon Road
Los Angeles City College,Los Angeles City College,855 North Vermont Avenue
Los Angeles County College of Nursing and Allied Health,Main Campus,1237 N. Mission Rd.
Los Angeles Mission College,Los Angeles Mission College,13356 Eldridge Avenue
Los Medanos College,Main Campus,2700 East LELAND Road
The Art Institute of California-San Francisco,The Art Institute of California - San Francisco,1170 MARKET ST
Loyola Marymount University,Main Campus,One LMU Drive
Loyola Marymount University,Loyola Law School,919 Albany Street
Manchester Beauty College,Main Campus,3756 N BLACKSTONE AVE
Tulare Beauty College,Main Campus,1400 W INYO ST
Lyles Bakersfield College of Beauty,Main Campus,2935 F ST
Lyles College of Beauty,Main Campus,6735 N FIRST AVE STE 112
Lytles Redwood Empire Beauty College Inc,Main Campus,186 WIKIUP DR
MTI Business College Inc,MTI Business College,6006 N. El Dorado Street
MTI College,Main Campus,5221 MADISON AVE
Kaplan College-Sacramento Campus,Main Campus,4330 Watt Ave.
Kaplan College-San Diego,Main Campus,9055 BALBOA AVENUE
Kaplan College-Vista,Main Campus,2022 UNIVERSITY DR
College of Marin,Kentfield,835 COLLEGE AVE
College of Marin,Indian Valley Campus,1800 Ignacio Blvd.
Marinello School of Beauty,Marinello School of Beauty-PDS,1241 S. Soto Street
Marinello School of Beauty,Marinello School of Beauty-Inglewood,240 S MARKET ST
Marinello School of Beauty,Marinello School of Beauty-WH,6538 GREENLEAF AVE
Marinello School of Beauty,Marinello School of Beauty-ER,2700 COLORADO BLVD STE 266
Marinello School of Beauty,Marinello School of Beauty-Reseda,18442 SHERMAN WAY
Marinello School of Beauty,Marinello School of Beauty-North Hollywood,6219 LAUREL CYN BLVD
Marinello School of Beauty,Marinello School of Beauty-Ontario,940 N MOUNTAIN AVE
Marinello School of Beauty,Marinello School of Beauty-San Diego,7550 Miramar Rd.
Marinello School of Beauty,Marinello School of Beauty-SB,721E W 2ND ST
Marinello School of Beauty,Marinello School of Beauty-West Covina,118 PLAZA DR
Marymount College,Marymount College,30800 PALOS VERDES DR E
Mendocino College,Main Campus,1000 HENSLEY CREEK ROAD
Mendocino College,Lakeport Center,1005 Parallel Drive
Mendocino College,Willits Center,11 Marin Street
Mendocino College,Pt Arena Field Station,23008 South Hwy 1
Menlo College,Menlo Campus,1000 EL CAMINO REAL
Mennonite Brethren Biblical Seminary,Main Campus,4824 E BUTLER
Merced College,Main Campus,3600 M ST
Merritt College,Merrit Community College,12500 CAMPUS DR
