Noncampuscrime060708[1,2,3,4].csv
Universidad Del Turabo,Cayey Campus,Carr. # 14 Edificio La Sierra K.m. 70.6 Bo Montell,Cayey
Universidad Del Turabo,Naguabo Campus,carretera PR 192 Km 1.6 Sector El Triunfo,Naguabo
Universidad Del Turabo,Isabela Campus,Apartado 807,Isabela
Universidad Del Turabo,Ponce Campus,Carr. #14 Km 3.4 Bo. Machuelos,Ponce
Universidad Del Turabo,Barceloneta Campus,Carr. #2 Km 59 Sector Tibur?n,Barceloneta
College of Micronesia-FSM,Main Campus,PO BOX 159 KOLONIA,Pohnpei
College of Micronesia-FSM,Chuuk Campus,PO BOX 879 WENO,CHUUK
College of Micronesia-FSM,Kosrae Campus,PO BOX 37 TOFOL,Kosrae
College of Micronesia-FSM,Yap Campus,PO BOX 286 COLONIA,Colonia
College of Micronesia-FSM,Pohnpei State Campus,Pohnpei State Campus,College of Micronesia-FSM
College of Micronesia-FSM,FSM Fisheries and Maritime Institute (FMI),College of Micronesia-FSM,P.O. Box 1056
Palau Community College,Main Campus,MEDALAII,Koror
University of the Virgin Islands,St. Thomas Campus (Main Campus),2 JOHN BREWERS BAY,CHARLOTTE AMALIE
University of the Virgin Islands,Kingshill Branch Campus,RR1 - 10,000 Kingshill
Stanford University,Main Campus,Building 10,STANFORD
Stanford University,Stanford in Washington,2661 Connecticut Ave,N.W.
Stanford University,Hopkins Marine Station,Oceanview Boulevard,Pacific Grove
Stanford University,Stanford in Santiago,Santiago,Chile
Stanford University,Stanford Program in Moscow,Moscow,Russia
Stanford University,Stanford in Berlin,Berlin,Germany
Stanford University,Stanford Japan Center,Kyoto,Japan
Stanford University,Stanford in Paris,Paris,France
Stanford University,Stanford in Florence,Florence,Italy
Stanford University,Stanford in Oxford,Oxford,England
Stanford University,Stanford in Beijing,Beijing,China
Stanford University,Madrid,Instituto Internacional,Miguel Angel
The University of Connecticut School of Medicine and Dentistry,Main Campus,263 FARMINGTON AVE,FARMINGTON
Purdue University-Main Campus,Main Campus,1076 FREEHAFER HALL,WEST LAFAYETTE
Blue Hills Regional Technical School,Main Campus,800 RANDOLPH ST,CANTON
Parker College of Chiropractic,PARKER COLLEGE OF CHIROPRACTIC,2500 WALNUT HILL LN,DALLAS
EDP College of Puerto Rico Inc,EDP COLLEGE OF PUERTO RICO,PONCE DE LEON AVE. #560,Hato Rey
ICPR Junior College-General Institutional,Main Campus,558 MUNOZ RIVERA AVE,HATO REY
ITT Technical Institute-Sylmar,Main Campus,12669 ENCINITAS AVE,SYLMAR
ITT Technical Institute-Thornton,Main Campus,500 E 84TH AVE STE B12,THORNTON
Widener University-Delaware Campus,Delaware Campus,4601 CONCORD PIKE,WILMINGTON
City College,Main Campus,2000 West Commercial Blvd,Suite 200
Meridian Career Institute,Main Campus,7020 Professional Pkwy E,SARASOTA
Georgia Perimeter College,Clarkston Campus,555 N. Indian Creek Drive,Clarkston
Georgia Perimeter College,Dunwoody Campus,2101 Womack Road,Dunwoody
Georgia Perimeter College,Decatur Campus,3251 Panthersville Road,Decatur
Georgia Perimeter College,Newton Campus,239 Cedar Lane,Convington
Dekalb Technical College,Main Campus,495 N INDIAN CREEK DR,CLARKSTON
Toni and Guy Hair Academy,Main Campus,317 COEUR D ALENE AVE,COEUR D ALENE
Cortiva Institute-Chicago,Main Campus,17 N. State Street - Suite 500,CHICAGO
Environmental Technical Institute,Main Campus,1101 W THORNDALE AVE,ITASCA
Southwestern College,SOUTHWESTERN COLLEGE,8095 CONNECTOR DR,FLORENCE
Trend Setters Academy of Beauty Culture-Elizabethtown,BRANCH CAMPUS,622 B Westport Road,Elizabethtown
Traxlers School of Hair,Main Campus,2845 SUNCREST DR,JACKSON
J & J Hair Design College,Main Campus,305 Hwy 16 W,CARTHAGE
Vatterott College,Vatterott College - Main Campus,8580 Evans Avenue,Berkeley
Warren County Community College,Main Campus,475 RTE 57 WEST,WASHINGTON
St John's College,St. John's College - Santa Fe,1160 CAMINO CRUZ BLANCA,SANTA FE
Yeshiva and Kollel Harbotzas Torah,Main Campus,1049 E 15TH ST,BROOKLYN
Bais Medrash Elyon,Main Campus,73 MAIN ST,MONSEY
Antioch University-Los Angeles Branch,Main Campus,400 Corporate Pointe,Culver City
Antioch University-Santa Barbara,Antioch University at Santa Barbara,801 GARDEN ST,#101
Antioch University New England,Main Campus,40 AVON ST,KEENE
Antioch University Seattle,Main Campus,2326 Sixth Avenue,Seattle
Antioch University McGregor,Antioch University McGregor,900 Dayton ST,Yellow Springs
Mid-America Christian University,Main Campus,3500 SW 119TH ST,OKLAHOMA CITY
Platt College,Main Campus,3801 S SHERIDAN,TULSA
Ponca City Beauty College,PONCA CITY BEAUTY COLLEGE INC (245980,122 N FIRST ST,PONCA CITY
Ponca City Beauty College,Bartlesville Beauty College,108 South Seneca,Bartlesville
Francis Tuttle Technology Center,Rockwell Campus,12777 N ROCKWELL AVE,OKLAHOMA CITY
Francis Tuttle Technology Center,Francis Tuttle-Portland Campus,3500 NW 150th,Oklahoma City
Francis Tuttle Technology Center,Reno Campus,7301 West Reno Ave,Oklahoma City
Career Point Institute,Main Campus,3138 S GARNETT,TULSA
Central Technology Center,Main Campus,3 COURT CIR,DRUMRIGHT
Apollo College-Portland Inc,Apollo College-Portland,2004 Lloyd Center,3rd Floor
Apollo College-Portland Inc,Spokane Campus,10102 E. Knox,Suite 200
Career Technology Center of Lackawanna County,Main Campus,3201 ROCKWELL AVE,SCRANTON
Kaplan Career Institute,Main Campus,2416 21ST AVE S STE 300,NASHVILLE
Career Centers of Texas-El Paso,Main Campus,8360 BURNHAM RD STE 100,EL PASO
Houston Graduate School of Theology,Main Campus,2501 Central Parkway,Ste. A19
Palo Alto College,Main Campus,1400 VILLARET,SAN ANTONIO
Sebring Career Schools,Branch Campus,2505 Lake Rd. Suite 1,HUNTSVILLE
San Antonio Beauty College 3,San Antonio Beauty College #3,4130 NACO PERRIN,SAN ANTONIO
Central Texas Beauty College,Main Campus,1400 N. Mays St.,ROUND ROCK
Empire Beauty School-Manitowoc,MARTINS COLLEGE OF COSMETOLOGY,1034 S 18TH ST,MANITOWOC
Unification Theological Seminary,Main Campus,30 SEMINARY DRIVE,BARRYTOWN
Athens Technical College,Athens Technical College - Athens,800 US Highway 29 N,ATHENS
Maricopa Skill Center,Maricopa Skill Center,1245 E BUCKEYE Rd,PHOENIX
Western Career College-San Leandro,Western Career College - San Leandro,15555 E.14th Street,Suite 500
Headmasters School of Hair Design,Main Campus,602 MAIN ST,LEWISTON
Razzle Dazzle College Inc,Main Campus,120 HOLLY ST,NAMPA
Beckfield College,Main Campus,16 Spiral Drive,FLORENCE
Dorsey Business Schools,Main Campus,34841 VETERANS PLAZA,WAYNE
Ecumenical Theological Seminary,Main Campus,2930 Woodward Ave,Detroit
Ross Medical Education Center-Saginaw,Ross Medical Education Center,4300 Fashion Square Blvd.,Suite 202
Sussex County Community College,Sussex County Community College,ONE COLLEGE HILL,NEWTON
Landmark College,Main Campus,RIVER RD SOUTH,PUTNEY
National American University-Independence,NAU-Independence,3620 Arrowhead Avenue,Independence
Yeshiva Gedolah of Greater Detroit,Main Campus,24600 GREENFIELD RD,OAK PARK
Austin Graduate School of Theology,Main Campus,7640 Guadalupe St,AUSTIN
Collin County Community College District,Central Park Campus,2200 W UNIVERSITY DR,MCKINNEY
Collin County Community College District,Spring Creek Campus,2800 E. Spring Creek,Plano
Collin County Community College District,Preston Ridge,9700 Wade Blvd.,Frisco
Ingalls Memorial Hospital Dietetic Internship,INGALLS HOSPITAL,ONE INGALLS DR,HARVEY
Owensboro Community and Technical College,Main Campus,4800 NEW HARTFORD RD,OWENSBORO
Owensboro Community and Technical College,Downtown Campus,1501 Frederica Street,Owensboro
Owensboro Community and Technical College,Southeastern Campus,1901 Southeastern Parkway,Owensboro
Heads West Kentucky Beauty College,Main Campus,Briarwood SHOPPING CTR,MADISONVILLE
Jenny Lea Academy of Cosmetology,JENNY LEA ACADEMY OF COSMETOLOGY,74  Parkway Plaza Loop,Whitesburg
The Hair Design School-Hurstborne,Main Campus,5314 BARDSTOWN RD,LOUISVILLE
Southeast School of Cosmetology,Main Campus,356 MANCHESTER SQ,MANCHESTER
Cloyds Beauty School 3 Inc,Main Campus,2514 FERRAND ST,MONROE
Moore Norman Technology Center,Franklin Road Campus,4701 12TH AVE NW,NORMAN
Fayette County Area Vocational-Technical School-Practical Nursing Program,Main Campus,175 GEORGES FAIRCHANCE RD,UNIONTOWN
Franklin County Career and Technology Center,FCCTC_PNP,1015 Philadelphia Avenue,CHAMBERSBURG
Reuben-Allen College,Main Campus,120 CENTER PARK DR,KNOXVILLE
Ogle School of Hair Design,Ogle School Hair Skin Nails,720-B ARCADIA STREET,HURST
Okefenokee Technical College,Main Campus,1701 CARSWELL AVE,WAYCROSS
Flint River Technical College,Main Campus,1533 HWY 19 S,THOMASTON
Flint River Technical College,Taylor County Center,Old Highway 96,Butler
The Fashion Institute of Design & Merchandising-San Diego,Branch Campus,350 Tenth Avenue,Third Floor
National American University-Albuquerque,NAU-Albuquerque,4775 INDIAN SCHOOL ROAD NE,SUITE 200
Tennessee Technology Center at Nashville,Main Campus,100 WHITE BRIDGE RD,NASHVILLE
ECPI College of Technology,Main Campus,5555 GREENWICH RD STE 300,VIRGINIA BEACH
ECPI College of Technology,ECPI - Newport News,1001 Omni Boulevard,Newport News
ECPI College of Technology,ECPI - Greensboro,7802 Airport Center Drive,Greensboro
ECPI College of Technology,ECPI - Charlotte,4800 Airport Center Parkway,Charlotte
ECPI College of Technology,ECPI - Greenville,1001 Keys Drive Suite 100,Greenville
ECPI College of Technology,ECPI - Manassas,10021 Balls Ford Rd,Manassas
ECPI College of Technology,ECPI - Raleigh,4101 Doie Cope Road,Raleigh
ECPI College of Technology,ECPI - Charleston,7410 Northside Drive #G101,North Charleston
ECPI College of Technology,ECPI  - Columbia,250 Berryhill Rd,Columbia
ECPI College of Technology,ECPI - Concord,124 Floyd Smith Drive,Charlotte
ECPI College of Technology,ECPI - Culinary,2428 Almeda Avenue,Norfolk
ECPI College of Technology,ECPI - Virginia Beach Annex,5501 Greenwich Rd,Virginia Beach
ECPI College of Technology,ECPI - Richmond South,800 Moorefield Park Drive,Suite 100
ECPI College of Technology,ECPI - Innsbrook,4305 Cox Road,Glen Allen
ECPI College of Technology,ECPI - Richmond West,2809 Emerywood Pkwy,Suite 400
ECPI Technical College,Main Campus,800 MOOREFIELD PK DR,RICHMOND
ECPI Technical College,ECPI Technical College - Innsbrook,4305 Cox Road,Glen Allen
Ms Roberts Academy of Beauty Culture-Villa Park,MS ROBERTS ACADEMY OF BEAUTY CULTURE,17 E PARK BLVD,VILLA PARK
Anthem Institute-Jersey City,Anthem Institute - Jersey City,40 Journal Square,1st Floor
Paul Mitchell The School- Houston,Paul Mitchell the School - Houston,744 FM 1960 West  #G,HOUSTON
ATI Career Training Center,ATI-Career Training Center,10003 TECHNOLOGY BLVD. WEST,DALLAS
TDDS Technical Institute,Main Campus,1688 NORTH PRICETOWN ROAD,SR 534
Allied Medical and Technical Institute,Main Campus,166 SLOCUM STREET,FORTY FORT
Orleans Technical Institute-Court Reporting Program,Orleans Technical Institute,2770 Red Lion Road,PHILADELPHIA
Laurel Business Institute,Main Campus,11 East Penn Street,Uniontown
Antonelli Medical and Professional Institute,Main Campus,1700 INDUSTRIAL HWY,Lower Level
Aviation Institute of Maintenance-Philadelphia,Main Campus,3001 Grant Avenue,Philadelphia
Sanford-Brown Institute,Sanford-Brown Institute,3600 Horizon Blvd,Suite GL1
Florida Career Institute Inc,Main Campus,5925 Imperial Park Way  Suite 200,Mulberry
Dorsey Business Schools,Main Campus,31542 GRATIOT,ROSEVILLE
The Salon Professional Academy,Main Campus,400 Cornerstone Drive,Suite 220
Moler-Pickens Beauty Academy,Main Campus,5951-S Boymel Dr,FAIRFIELD
ATI Career Training Center,Main Campus,6351 Boulevard 26,Suite 100
ATI Career Training Center,Oklahoma City,2401 NW 23rd  STE 14,Oklahoma City
Red River Technology Center,Main Campus,3300 W Bois D'Arc,Duncan
Kaplan Career Institute,Main Campus,5650 DERRY ST,HARRISBURG
ITT Technical Institute-Newburgh,Main Campus,10999 STAHL RD,NEWBURGH
Southern Union State Community College,Main Campus,750 ROBERTS ST,WADLEY
Southern Union State Community College,Opelika Campus,1701 Layayette Parkway,Opelika
Southern Union State Community College,Valley Campus,F O B James Drive,Valley
South University,South University - Columbia,9 Science Court,COLUMBIA
Everest University-Brandon,Brandon Campus,3924 COCONUT PALM DR,TAMPA
Clinton Technical School,Main Campus,602 S. Fifth St.,CLINTON
Consolidated School of Business,Main Campus,2124 AMBASSADOR CIR,LANCASTER
Greene County Career and Technology Center,Main Campus,60 ZIMMERMAN DRIVE,WAYNESBURG
Lac Courte Oreilles Ojibwa Community College,Main Campus,13466 W TREPANIA RD,HAYWARD
Diesel Driving Academy,Main Campus,4709 Greenwood Road,Shreveport
Pima Medical Institute,Mesa Campus,957 S DOBSON,Mesa
Platt College-Los Angeles,Main Campus,1000 South Fremont Ave.,A9 West
Platt College,Main Campus,3100 S PARKER RD  SUITE 200,AURORA
Kaplan University,Main Campus,1801 E KIMBERLY RD STE 1,DAVENPORT
Kaplan University-Cedar Falls Campus,Main Campus,7009 Nordic Drive,CEDAR FALLS
Scot Lewis Schools-Paul Mitchell Partner School,Main Campus,1270 S VINNELL WAY,BOISE
Christian Life College,Main Campus,400 E Gregory St,Mt Prospect
Knowledge Systems Institute,Main Campus,3420 MAIN ST,SKOKIE
Educators of Beauty,Branch,128 S FIFTH ST,ROCKFORD
ITT Technical Institute-Mount Prospect,Main Campus,1401 Feehanville DR,Mount Prospect
Northwestern College-Southwestern Campus,Bridgeview Campus,7725 South Harlem,Bridgeview
Tulsa Technology Center-Lemley Campus,LEMLEY CAMPUS,3420 S MEMORIAL DR,TULSA
Tulsa Technology Center-Riverside Campus,Main Campus,801 East 91st,Tulsa
Tulsa Technology Center-Broken Arrow Campus,BROKEN ARROW CAMPUS,4600 South Olive,Broken Arrow
Douglas J Aveda Institute,Douglas J Aveda Institute East Lansing,331 East Grand River Ave,East Lansing
Douglas J Aveda Institute,Douglas J Aveda Institute Ann Arbor,331 Maynard St.,Ann Arbor
Douglas J Aveda Institute,Douglas J Aveda Institute - Grand Rapids,138 Commerce St. SW,Grand Rapids
Douglas J Aveda Institute,Douglas J Aveda Institute-Royal Oak,409 S. Center St.,Royal Oak
ITT Technical Institute-Troy,Main Campus,1522 E BIG BEAVER RD,TROY
Ross Medical Education Center-Brighton,Main Campus,8110 Murphy Drive,BRIGHTON
Ross Medical Education Center-Ann Arbor,Ross Medical Education Center,4703 WASHTENAW,ANN ARBOR
Taylortown School of Beauty Inc,Main Campus,23129 ECORSE RD,TAYLOR
Pike-Lincoln Technical Center,Main Campus,342 VO-TECH RD,EOLIA
West Virginia Career Institute,Pennsylvania Institute of Health and Technology,Mount Braddock Road/PO Box 278,MOUNT BRADDOCK
ECPI Technical College,Main Campus,5234 AIRPORT RD,ROANOKE
Bethel Seminary San Diego,Bethel Seminary San Diego,6116 AROSA ST,SAN DIEGO
St Charles Community College,ST CHARLES COMMUNITY COLLEGE,4601 MID RIVERS MALL DR,Cottleville
Chapman University-University College,Irvine Campus,16355 Laguna Canyon Road,Irvine
New College of Florida,New College of Florida,5800 Bay Shore Road,SARASOTA
Southern New England School of Law,Main Campus,333 FAUNCE CORNER RD,NORTH DARTMOUTH
Arizona Academy of Beauty-North,Main Campus,4066 N ORACLE,TUCSON
Empire Beauty School-Prescott,Main Campus,410 W GOODWIN STREET,PRESCOTT
Remington College-Tempe Campus,Remington College Tempe Campus,c/o RASI,500 International Pkwy
Scottsdale Culinary Institute,Main Campus,8100 E CAMELBACK RD,SUITE 1001
Conservatory of Recording Arts and Sciences,Main Campus,2300 E BROADWAY RD,TEMPE
Adrians Beauty College of Turlock,Adrians Beauty College of Turlock,1340 W Main St,Turlock
California Career School,Main Campus,1100 TECHNOLOGY CIR,ANAHEIM
San Joaquin Valley College-Fresno,Fresno Campus,295 E SIERRA AVE,FRESNO
Heritage College,Main Campus,12 LAKESIDE LN,DENVER
The Hair Design School-Highlands,Main Campus,1049 BARDSTOWN RD,LOUISVILLE
Sunstate Academy,Main Campus,2040 COLONIAL BLVD Suite 5,FT MYERS
Elizabeth Grady School of Esthetics and Massage Therapy,Main Campus,222 BOSTON AVENUE,MEDFORD
Ross Medical Education Center-Port Huron,Ross Medical Education Center,2887 Krafft Road,Suite 700
Capri Institute of Hair Design,Capri Institute of Hair Design,1595 MAIN AVE,CLIFTON
Raphaels School of Beauty Culture,Main Campus,2445 W. STATE ST.,ALLIANCE
Metro Technology Centers,Springlake Campus,1900 Springlake Drive,Oklahoma City
Metro Technology Centers,Aviation Career Campus,5600 S MacArthur,Oklahoma City
Metro Technology Centers,South Bryant Campus,4901 S Bryant Ave,Oklahoma City
Metro Technology Centers,Adult & Continuing Education,201 NE 48th Street,Oklahoma City
Metro Technology Centers,Beauty Academy,309 SW 59th Street,Oklahoma City
Metro Technology Centers,Dana Building,6100 S Bryant Ave,Oklahoma City
Heald College-Roseville,Main Campus,SEVEN SIERRA GATE PLZ,ROSEVILLE
Draughons Junior College,Draughons Junior College  Bowling Green Campus,2421 Fitzgerald Industrial Dr.,BOWLING GREEN
Draughons Junior College,Clinton,1171 Highway 51 South,Clinton
Draughons Junior College,Russellville,160 Shelton Lane,Russellville
Academy of Court Reporting-Clawson,Clawson Campus,1055 W. Maple Road,CLAWSON
Everest College-Everett,Everest College - Everett Campus,906 SE EVERETT MALL PARKWAY,6TH FLOOR
Luna Community College,Main Campus,366 Luna Dr.,LAS VEGAS
Luna Community College,Springer Satellite,P.O. Box 755,Springer
Luna Community College,Santa Rosa Satellite,213 4TH STREET,SANTA ROSA
Grabber School of Hair Design,Main Campus,14557 MANCHESTER,BALLWIN
Yeshivah Gedolah Rabbinical College,Main Campus,1140 ALTON RD,MIAMI BEACH
University of the District of Columbia David A Clarke School of Law,Main Campus,4200 CONNECTICUT AVENUE,N.W.
Caribbean University-Ponce,Ponce,Carr no. 1 Km 125.2 Barrio Tenerias,PONCE
Caribbean University-Vega Baja,Main Campus,CARR 67,SECTOR CRIOLLO
University of Advancing Technology,Main Campus,2625 W BASELINE RD,TEMPE
Paradise Valley Community College,Main Campus,18401 N 32ND ST,PHOENIX
Chandler/Gilbert Community College,Pecos Campus,2626 E PECOS RD,CHANDLER
Chandler/Gilbert Community College,CGCC/Williams Campus,7360 E. Tahoe Ave.,Mesa
St Johns Hospital School of Clinical Lab Science,Main Campus,800 E CARPENTER,SPRINGFIELD
Madison Media Institute,Main Campus,2702 Agriculture Drive,MADISON
Sanford-Brown Institute,Main Campus,8401 CORPORATE DR STE 500,LANDOVER
Sanford-Brown Institute,Sanford-Brown Institute,333 Westchester Avenue,White Plains
Sanford-Brown Institute,Sanford-Brown Institute,Garden City,711 Stewart Avenue
Great Plains Technology Center,Great Plains Technology Center,4500 W Lee Blvd,LAWTON
Great Plains Technology Center,Tillman/Kiowa Campus,2001 E. Gladstone,Frederick
Montebello Beauty College,MONTEBELLO BEAUTY COLLEGE,2201 W WHITIER BLVD,MONTEBELLO
Roane-Jackson Technical Center,Roane-Jackson Technical Center,4800 SPENCER RD,LEROY
Total Cosmetology Training Center,Main Campus,5303 N Market St,Spokane
Iverson Business School and Court Reporting,Iverson Business School and Court Reporting,1600 East Pioneer Pkwy. Suite 200,ARLINGTON
Iverson Business School and Court Reporting,Iverson Business School and Court Reporting,6685 Peachtree Industrial Blvd.,Atlanta
Career Academy Inc,Main Campus,32 OAKLAWN VILLAGE,TEXARKANA
Lawrence County Career and Technical Center-Practical Nursing Program,Main Campus,750 PHELPS WAY,NEW CASTLE
Pioneer Technology Center,Main Campus,2101 N ASH,PONCA CITY
Portage Lakes Career Center,Main Campus,4401 SHRIVER RD,GREEN
Eastern College of Health Vocations,Branch Campus,201 Evans Rd. Bldg 400,New Orleans
Bell Mar Beauty College,Main Campus,5717 W CERMAK,CICERO
Cannella School of Hair Design,Main Campus,4217 W NORTH AVE,CHICAGO
Florida Career College,Main - Clearwater Campus,410 Park Place Blvd.,CLEARWATER
Florida Career College,Riverview Campus,2662 So. Falkenburg Road,Riverview
Caddo Kiowa Technology Center,Main Campus,CAREER TECH ROAD,FT COBB
Kaplan Career Institute-San Antonio Campus,Main Campus,4205 SAN PEDRO AVE,SAN ANTONIO
Oswego County BOCES,Main Campus,179 CO RTE 64,MEXICO
Texas Culinary Academy,Main Campus,11400 Burnet Road,Suite 2100
The Art Institute of New York City,The Art Institute of New York City,75 VARICK ST 16TH FL,NEW YORK
Paris II Educational Center,Main Campus,6840 N OAK TRFWY,GLADSTONE
International School of Skin and Nailcare,Main Campus,5600 ROSWELL RD NE,ATLANTA
American Career College,Main Campus,7000 W CERMAK RD,BERWYN
Palomar Institute of Cosmetology,Main Campus,355 VIA VERA CRUZ # 3,SAN MARCOS
Southern Oklahoma Technology Center,Southern Oklahoma Technology Center,2610 SAM NOBLE PKY,ARDMORE
Computer Career Center,COMPUTER CAREER CENTER,6101 MONTANA AVE,EL PASO
Computer Career Center,Computer Career Center,7731  North Loop,El Paso
Autry Technology Center,Main Campus,1201 W WILLOW,ENID
Greene County Career Center,Greene County Career Center,2960 W Enon Rd.,Xenia
Canadian Valley Technology Center,Canadian Valley Technology Center,6505 E HWY 66,EL RENO
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes-Barre Area Career and Technical Center Practical Nursing,350 Jumper Rd,Wilkes Barre
Mayo Graduate School,Main Campus,200 1ST ST SW,ROCHESTER
American Beauty Institute,American Beauty Institute,2009  NORTH MAIN,MCALESTER
Meridian Technology Center,Main Campus,1312 S SANGRE RD,STILLWATER
Waynesville Technical Academy,WAYNESVILLE CAREER CENTER,400 G.W. LANE,WAYNESVILLE
Connecticut Institute of Hair Design,Ct.Institute of Hair Design,Inc.,1681 MERIDEN RD
Capitol School of Hairstyling,Main Campus,2819 S 125 AVE Suite 268,OMAHA
Morris County Vocational School District,Morris County Vocational School District,400 E Main St,Denville
Ross Medical Education Center-Roosevelt Park,Ross Medical Education Center,950 W NORTON AVE,Suite D
Ross Medical Education Center-Grand Rapids,Ross Medical Education Center,3777 Sparks Drive S.E. Suite 125,GRAND RAPIDS
East Metro Opportunities Industrialization Center,East Metro OIC - Main Campus,1919 University Ave Suite 500,ST PAUL
Cloyds Beauty School 2 Inc,Main Campus,1311 WINNSBORO RD,MONROE
UTI of Illinois Inc,UNIVERSAL TECHNICAL INSTITUTE OF ILLINOIS,INC.,601 REGENCY DR
Pennsylvania College of Technology,Main Campus,ONE COLLEGE AVE,WILLIAMSPORT
Commonwealth Institute of Funeral Service,Main Campus,415 BARREN SPRINGS DR,HOUSTON
Delta College of Arts & Technology,Main Campus,7380 EXCHANGE PLACE,BATON ROUGE
Intercoast Colleges,Main Campus,3745 W. Chapman Avenue  #100,Orange
Stone Child College,Main Campus,RR1 #1082,Box Elder
New York Academy of Art,Main Campus,111 FRANKLIN ST,NEW YORK
Suffolk County Community College,Ammerman Campus,533 COLLEGE RD,SELDEN
Suffolk County Community College,Eastern Campus,121 Speonk-Riverhead Road,Riverhead
Suffolk County Community College,MICHAEL J. GRANT CAMPUS,1001 Crooked Hill Road,Brentwood
Las Positas College,Main Campus,3033 COLLIER CYN RD,LIVERMORE
Blades School of Hair Design,Main Campus - Blades School of Hair Design,22576-316 MACARTHUR BLVD,PO BOX 226
Altamaha Technical College,Main Campus,1777 W CHERRY ST,Jesup
Altamaha Technical College,Baxley Campus,1334 Golden Isles West,Baxley
Altamaha Technical College,Ludowici Campus,Route 2 Box 237-A,Ludowici
Altamaha Technical College,Hazlehurst Campus,677 Douglas Highway,Hazlehurst
North Metro Technical College,North Metro Campus,5198 ROSS RD,ACWORTH
Ogeechee Technical College,Main Campus,ONE JOE KENNEDY BLVD,STATESBORO
Remington College-Mobile Campus,Remington College - Memphis Campus,828 Downtowner Loop West,Mobile
Everest College-Aurora,Everest College,14280 E. Jewell Avenue,AURORA
Southwest Florida College,Main Campus,1685 Medical Lane,Fort Myers
Southwest Florida College,Tampa,3910 Riga Blvd.,Tampa
Mercy/St. Luke's School of Radiologic Technology,Main Campus,1026 A AVE NE,CEDAR RAPIDS
ITT Technical Institute-Norwood,Main Campus,333 Providence Highway,Rte 1
Southwest Acupuncture College-Santa Fe,Main Campus,1622 Galisteo Street,Santa Fe
Northwest Technology Center,Main Campus,1801 South 11th Street,Alva
Mercer County Career Center,Main Campus,776 GREENVILLE RD,MERCER
ITT Technical Institute-Knoxville,Main Campus,10208 TECHNOLOGY DR,KNOXVILLE
ITT Technical Institute-Austin,Main Campus,6330 HIGHWAY 290 EAST STE 150,AUSTIN
ITT Technical Institute-Houston North,Main Campus,15651 North Freeway,HOUSTON
California State University-San Marcos,Main Campus,333 S TWIN OAKS VALLEY RD,San Marcos
Argosy University-Hawaii,Argosy University - Hawaii,400 ASB Tower,1001 Bishop Street
Temple Baptist Seminary,Main Campus,1906  UNION AVENUE,CHATTANOOGA
Baptist Theological Seminary at Richmond,Main Campus,3400 BROOK RD,RICHMOND
Kaplan College-Modesto Campus,Main Campus,5172 Kiernan Court,Salida
Kaplan University-Des Moines Campus,Des Moines Campus,4655 121st Street,Urbandale
Hairmasters Institute of Cosmetology,Main Campus,506 S MCCLUN ST,BLOOMINGTON
Hair Arts Academy,Main Campus,933 N WALNUT,BLOOMINGTON
Pinnacle Career Institute,Pinnacle Career Institute,1601 West 23 Street,Suite 200
Interactive College of Technology,Branch Campus,11 Spiral Drive,Ste. #8
Career Technical College,Main Campus,2319 LOUISVILLE AVE,MONROE
Blaine the Beauty Career Schools-Lowell,Main Campus,231 CENTRAL ST,LOWELL
Ross Medical Education Center-Redford,Ross Medical Education Center,9327 Telegraph Road,Redford
Virginia Farrell Beauty School,Main Campus,33425 FIVE MILE RD,LIVONIA
McNally Smith College of Music,Main Campus,19 Exchange St E,St Paul
Academy of Healing Arts,Main Campus,710 S Tonopah Dr,Las Vegas
Allied Health Careers,Main Campus,5424 HWY 290 W STE 105,AUSTIN
National Tractor Trailer School Inc,National Tractor Trailer School,4650 BUCKLEY RD,LIVERPOOL
Interactive Learning Systems,Main Campus,8585 N STEMMONS FWY TWIN TOWERS,DALLAS
Interactive Learning Systems,Branch Campus,6200 HILLCROFT AVE STE 200,HOUSTON
Star Technical Institute - Lakewood,Main Campus,1255 Rt 70,Suite 12-N
Pennsylvania Culinary Institute,Main Campus,717 LIBERTY AVE  CLARK BLDG,PITTSBURGH
New Castle School of Beauty Culture,New Castle Beauty School,314 WASHINGTON ST,NEW CASTLE
NorthWest Arkansas Community College,Main Campus,ONE COLLEGE DR,BENTONVILLE
Madera Beauty College,Main Campus,325 N Gateway Drive,MADERA
Teikyo Loretto Heights University,Teikyo Loretto Heights University,3001 S FEDERAL BLVD,DENVER
Brewster Technical Center,BREWSTER TECHNICAL CENTER,2222 N TAMPA ST,TAMPA
Hodges University,Main Campus,2655 Northbrooke Drive,Naples
Hodges University,Ft Myers Campus,4501 Colonial Boulevard,Fort Myers
St. Petersburg Theological Seminary,St. Petersburg Theological Seminary,10830 NAVAJO DR,ST PETERSBURG
Everest University-Lakeland,Lakeland Campus,995 E MEMORIAL BLVD STE 110,LAKELAND
Argosy University-Atlanta,Argosy University - Atlanta,990 HAMMOND DR STE 1100,ATLANTA
Capital Area School of Practical Nursing,Main Campus,2201 TORONTO RD,SPRINGFIELD
Hair Professionals Career College,Main Campus,10321 S ROBERTS RD,PALOS HILLS
Alexandria School of Scientific Therapeutics,Main Campus,809 S HARRISON ST,ALEXANDRIA
Hannibal Career and Technical Center,Main Campus,4550 MCMASTERS AVE,HANNIBAL
